PlayerId;Year;Team Id;League Id;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
1;2019;0;9999;4;14973;0;3;1;1;0;19;171;66
1;2020;0;9999;1;642;0;0;0;0;0;0;2;52
33;2021;1;9999;5;17905;1;4;0;0;0;12;197;81
33;2020;1;9999;6;22591;2;2;2;1;0;18;238;80
35;2021;1;9999;0;0;0;0;0;0;0;0;0;0
35;2020;1;9999;0;0;0;0;0;0;0;0;0;0
66;2021;8;9999;1;25;0;0;0;0;0;0;1;51
66;2019;2;9999;0;0;0;0;0;0;0;0;0;0
66;2020;2;9999;1;197;0;0;0;0;0;0;1;48
67;2019;2;9999;15;54838;12;3;0;0;2;26;438;82
67;2020;2;9999;15;55752;8;6;1;3;0;47;532;77
101;2021;9;9999;0;0;0;0;0;0;0;0;0;0
132;2021;4;9999;7;25630;3;3;1;1;0;21;271;81
132;2019;4;9999;6;21718;2;4;0;1;1;15;197;78
132;2020;4;9999;4;14812;0;3;1;1;0;13;179;83
133;2019;4;9999;0;0;0;0;0;0;0;0;0;0
165;2019;5;9999;11;39789;5;5;1;0;1;25;349;77
264;2021;8;9999;6;21720;2;4;0;1;0;22;244;74
264;2019;8;9999;7;26069;3;3;1;0;0;21;243;71
264;2020;8;9999;5;17940;1;3;1;0;0;13;148;74
297;2021;9;9999;11;40249;7;3;1;0;0;30;351;70
297;2019;9;9999;9;32106;5;3;0;1;0;23;288;71
297;2020;9;9999;6;23069;2;2;2;0;1;20;165;65
298;2019;9;9999;9;36472;5;3;1;1;0;17;317;86
330;2019;14;9999;0;0;0;0;0;0;0;0;0;0
330;2020;9;9999;0;0;0;0;0;0;0;0;0;0
429;2019;13;9999;10;42501;3;2;5;1;0;30;351;73
429;2020;13;9999;12;38988;7;4;1;1;1;35;340;66
430;2019;13;9999;1;3600;1;0;0;0;0;2;15;55
430;2020;13;9999;3;5195;0;0;0;0;0;3;46;65
462;2020;4;9999;0;0;0;0;0;0;0;0;0;0
462;2021;0;9999;0;0;0;0;0;0;0;0;0;0
463;2021;14;9999;20;73771;11;5;4;1;0;63;764;80
463;2019;14;9999;7;25388;3;4;0;2;0;22;266;74
463;2020;14;9999;17;63518;12;3;2;0;0;51;666;81
495;2021;15;9999;0;0;0;0;0;0;0;0;0;0
497;2021;15;9999;4;14288;0;4;0;1;0;12;176;85
529;2019;8;9999;0;0;0;0;0;0;0;0;0;0
529;2020;8;9999;0;0;0;0;0;0;0;0;0;0
531;2021;2;9999;0;0;0;0;0;0;0;0;0;0
532;2019;0;9999;0;0;0;0;0;0;0;0;0;0
566;2021;0;9999;0;0;0;0;0;0;0;0;0;0
596;2021;2;9999;12;43470;5;7;0;1;2;38;380;71
596;2020;2;9999;0;0;0;0;0;0;0;0;0;0
627;2019;5;9999;0;0;0;0;0;0;0;0;0;0
630;2021;4;9999;0;0;0;0;0;0;0;0;0;0
738;2021;14;9999;1;53;0;0;0;0;0;0;0;50
738;2020;14;9999;1;431;0;0;0;0;0;0;0;48
834;2020;0;9999;13;48453;7;5;1;0;1;34;440;76
834;2021;0;9999;17;61875;12;5;0;0;3;32;440;76
