PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
99;3;3;5;334;1;2;2;214;201;13;2.33;1;.939;87
135;1;1;11;656;7;4;0;312;283;29;2.65;0;.907;67
232;7;7;18;1121;10;7;1;676;626;50;2.68;1;.926;83
429;13;13;5;306;1;4;0;223;202;21;4.11;0;.906;76
563;21;21;6;358;2;4;0;230;213;17;2.84;0;.926;79
564;5;5;4;225;0;4;0;216;189;27;7.18;0;.875;69
565;6;6;13;749;7;4;2;408;373;35;2.80;0;.914;74
566;19;19;5;310;1;2;2;166;151;15;2.90;0;.910;71
595;15;15;19;1145;12;7;0;585;541;44;2.30;2;.925;82
596;2;2;19;1151;16;2;1;487;458;29;1.51;5;.940;80
630;18;18;4;240;0;4;0;243;226;17;4.25;0;.930;88
661;8;8;10;629;5;3;2;360;335;25;2.38;0;.931;82
834;0;0;9;538;5;4;0;285;263;22;2.45;1;.923;79
903;6;6;2;36;0;0;0;18;16;2;3.25;0;.889;51
1268;12;12;4;237;0;4;0;171;153;18;4.55;0;.895;73
1374;9;9;14;884;8;4;2;515;478;37;2.51;0;.928;84
1377;9;9;1;0;0;0;0;0;0;0;0.00;0;.000;50
1641;7;7;1;10;0;0;0;6;4;2;11.92;0;.667;36
1739;10;10;4;239;0;4;0;197;181;16;4.01;0;.919;83
1901;5;5;1;13;0;0;0;2;1;1;4.53;0;.500;41
