PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
36;4;4;7;421;1;6;0;364;336;28;3.98;0;.923;88
99;3;3;7;427;6;1;0;210;196;14;1.96;0;.933;82
132;21;21;4;184;2;0;0;129;125;4;1.30;0;.969;84
135;1;1;7;423;3;3;1;203;183;20;2.84;1;.901;70
232;7;7;7;423;6;1;0;191;177;14;1.98;1;.927;78
264;8;8;3;179;2;1;0;97;88;9;3.01;0;.907;68
429;13;13;7;411;2;4;1;216;192;24;3.50;0;.889;64
497;20;20;7;419;3;4;0;257;234;23;3.29;0;.911;73
563;21;21;5;233;2;3;0;149;130;19;4.88;0;.872;60
564;5;5;7;423;4;2;1;231;211;20;2.83;1;.913;71
565;6;6;7;427;3;3;1;201;180;21;2.95;0;.896;66
566;19;19;7;424;3;4;0;284;263;21;2.97;0;.926;78
595;15;15;7;430;4;2;1;164;145;19;2.65;0;.884;61
596;2;2;7;419;5;2;0;216;201;15;2.15;1;.931;71
630;18;18;7;419;5;2;0;195;182;13;1.86;2;.933;79
661;8;8;4;239;2;2;0;121;108;13;3.26;0;.893;67
738;14;14;1;28;0;0;0;11;11;0;0.00;0;1.000;62
834;0;0;7;424;5;1;1;203;191;12;1.69;1;.941;79
1097;13;13;1;12;0;0;0;4;3;1;4.74;0;.750;44
1142;11;11;7;419;1;6;0;330;298;32;4.58;0;.903;73
1268;12;12;7;419;2;5;0;256;233;23;3.29;0;.910;69
1374;9;9;7;424;4;2;1;235;211;24;3.39;0;.898;69
1413;14;14;7;390;0;7;0;339;301;38;5.84;0;.888;72
1739;10;10;7;424;5;1;1;215;199;16;2.26;0;.926;74
